Title,Journal,Publication Date,PubMed ID,Abstract
Serum metabolomic profiles and semaphorin-3A as biomarkers of diabetic retinopathy progression.,The Egyptian journal of immunology,2023 Apr,37031410,"Diabetic retinopathy (DR) is a typical microvascular complication of diabetes mellitus (DM) and it remains one of the leading causes of vision loss worldwide. Studies postulated that a distinct metabolic signature of DR exists and can be resolved from that of diabetes alone. Serum Semaphorin3A (Sema3A) levels have also been found to be correlated with the phenotypes of diabetic retinopathy. We aimed to analyze and identify serum metabolites and serum Sema3A levels that could be useful biomarkers of DR progression. This cross-sectional study included 45 type 2 diabetes (T2D) patients. Diabetic patients were divided into three groups based on the status of their complications: non-DR (NDR, n=15), non-proliferative DR (NPDR, n=15), and proliferative DR (PDR, n=15) groups. Serum metabolomic profiles of these patients were determined by using high-performance liquid chromatography-mass spectrometry (HPLC-MS), and serum Sema3A levels measured by ELISA. Metabolomics analysis revealed a set of metabolites that were altered in the serum of PDR patients as compared with NPDR and NDR groups. Among these metabolites total asymmetric dimethylarginine (ADMA) and Kynurenine were potential predictors of PDR patients. Significantly higher serum levels of Sema3A in PDR patients as compared with NPDR and NDR groups (p < 0.001), their serum levels were positively correlated with the central macular thickness (r= 0.952, p < 0.001) and negatively correlated with the superficial macular density (r=-0.952, p < 0.001). In conclusion, the metabolite signatures identified in this study and serum Sema3A levels could be proposed as biomarkers for DR development and progression in T2D patients. However, Sema3A was superior to metabolomics in the prediction of the severity of DR."
Benefits of a laser chorioretinal anastomosis plus ranibizumab vs ranibizumab alone for central retinal vein occlusion: 4-year results.,American journal of ophthalmology,2023 Apr 6,37030494,"PURPOSE: Evaluate what clinical gains can be achieved over conventional treatment with ranibizumab alone for central retinal vein occlusion (CRVO) when causal pathology is additionally successfully addressed with a laser-induced chorio-retinal anastomosis (L-CRA). DESIGN: 2-year extension of prospective, randomized, controlled clinical trial. METHODS: 58 patients with macular edema secondary to CRVO randomized 1:1 to receive either an L-CRA (29) or sham procedure (29) at baseline and then monthly intravitreal ranibizumab 0.5mg Outcomes (best corrected visual acuity (BCVA), central subfield thickness (CST), injection requirements) were monitored in the monthly pro re nata (PRN) ranibizumab phase from months 7-48. RESULTS: Injection requirements for those with a functioning L-CRA (24 of 29) during the monthly PRN period from 7-24 months, were mean (95% confidence interval [CI]) of 2.18 [1.57, 2.78] injections compared to 7.07 [6.08, 8.06] (p<0.0001) for control (ranibizumab alone). These decreased further over the next 2 years to 0.29 (0.14, 0.61) compared to 2.20 (1.68, 2.88) (p<0.001) for the third year and 0.25 (0.11, 0.56) and 1.84 (1.34, 2.54) for the fourth year (p<0.001). Mean BCVA was statistically different at all follow-up time points from month 7 through to month 48 for the group with the functioning L-CRA compared to the control monotherapy group. This improved to 14.06 letters at month 48 (p=0.009). There was no difference in CST between any of the groups over the 48 months of follow-up. CONCLUSION: For CRVO patients, addressing causal pathology in addition to conventional therapy, improves BCVA and reduces injection requirements."
14-Year Outcome of Angle-Closure Prevention with Laser Iridotomy in the Zhongshan Angle Closure Prevention Study: Extended Follow-Up of a Randomized Controlled Trial.,Ophthalmology,2023 Apr 6,37030454,"PURPOSE: This study aimed to evaluate the efficacy of laser peripheral iridotomy (LPI) prophylaxis for primary angle closure suspects (PACS) after 14 years and to identify risk factors for the conversion from PACS to primary angle closure (PAC). DESIGN: An extended follow-up of Zhongshan Angle Closure Prevention (ZAP) study. PARTICIPANTS: A total of 889 Chinese patients aged 50 to 70 years with bilateral PACS. METHODS: Each patient received LPI in one randomly selected eye, with the fellow untreated eye serving as a control. Since the risk of glaucoma was low and acute angle closure (AAC) only occurred in rare cases, the follow-up was extended to 14 years despite substantial benefits of LPI reported after the 6-year visit. MAIN OUTCOME MEASURES: The primary outcome was incidence of PAC, a composite endpoint including peripheral anterior synechiae (PAS), intraocular pressure (IOP) > 24 mmHg, or AAC. RESULTS: During the 14 years, 390 LPI-treated eyes and 388 control eyes were lost to the follow-up. A total of 33 LPI-treated eyes and 105 control eyes reached primary endpoints (P <0.01). Within them, twelve eyes developed AAC or primary angle closure glaucoma (AAC: five control eyes and one LPI-treated eye; PACG: four control eyes and two LPI-treated eyes). The hazard ratio for progression to PAC was 0.31 (95% confidence interval, 0.21-0.46) in LPI-treated eyes compared with control eyes. At the 14-year visit, LPI-treated eyes had severer nuclear cataract, higher IOP, larger angle width and limbal anterior chamber depth (LACD) than control eyes. Higher IOP, shallower LACD, and central anterior chamber depth (CACD) were associated with an increased risk of developing endpoints in control eyes. In the treated group, eyes with higher IOP, shallower LACD, or less IOP elevation after dark room-prone provocative tests (DRPPT) were more likely to develop PAC after LPI. CONCLUSIONS: Despite a two-third decrease in PAC incidence after LPI, the cumulative risk of PAC was relatively low in the community-based PACS population over 14 years. Apart from IOP, IOP elevation after DRPPT, CACD, and LACD, more risk factors are needed to achieve precise prediction of PAC occurrence and guide clinical practice."
Clinical efficacy of a new surgical technique of oral mucosal epithelial transplantation for severe ocular surface disorders.,BMC ophthalmology,2023 Apr 7,37029360,"BACKGROUND: Severe ocular surface disorders are one of the major blinding diseases, and a paucity of original tissue obscures successful reconstruction. We developed a new surgical technique of direct oral mucosal epithelial transplantation (OMET) to reconstruct severely damaged ocular surfaces in 2011. This study elaborates on the clinical efficacy of OMET. METHODS: A retrospective review of patients with severe ocular surface disorders who underwent OMET from 2011 to 2021 at the Department of Ophthalmology, Sir Run Run Shaw Hospital, Zhejiang University School of Medicine was conducted. Patients who were followed up for at least 3 months postoperatively and had sufficient pre or postoperative records were included. Surgical efficacy was evaluated by comparing the best-corrected visual acuity (BCVA), corneal transparency, neovascularization grade, and symblepharon grade. Additionally, postoperative ocular surface impression cytology was used to study the morphology of the newborn epithelial cells. RESULTS: Forty-eight patients (49 eyes; mean age: 42.55 +/- 12.40 years, range:12-66 years) were enrolled in the study. The etiology included chemical burns (30 eyes), thermal burns (16 eyes), explosive injuries (1 eye), Stevens-Johnson syndrome (1 eye), and multiple pterygiums (1 eye). The mean follow-up period was 25.97 +/- 22.99 months. Postoperatively, 29 eyes (59.18%) showed improved corneal transparency, 26 eyes (53.06%) had improved BCVA, 47 eyes (95.92%) had a stable epithelium until the final follow-up, 44 eyes (89.80%) had a reduced neovascularization grade. Of the 20 eyes with preoperative symblepharon, 15 (75%) were completely resolved, and five (25%) were partially resolved. Impression cytological studies showed no postoperative conjunctival invasion onto the corneal surface. CONCLUSIONS: OMET is a safe and effective surgical technique for reconstruction in severe ocular surface disorder by maintaining a stable epithelium and reducing the neovascularization and symblepharon grade."
Can precancerous stem cells be risk markers for malignant transformation in the oral mucosa?,Cellular & molecular biology letters,2023 Apr 7,37029348,"Accurate assessment of the carcinogenic potential of oral mucosal diseases can significantly reduce the prevalence of oral cancer. We speculate that precancerous stem cells (pCSCs) arise during the evolution of carcinomas based on long-term experimental findings, published literature, and the cancer stem cell (CSC) theory, wherein pCSCs exist in precancerous lesions and have characteristics of both CSCs and normal stem cells. This apparently contradictory feature may be the foundation of the reversible transformation of precancerous lesions. Predicting malignant transformation in potentially malignant oral illnesses would allow for focused treatment, prognosis, and secondary prevention. Currently available clinical assays for chromosomal instability and DNA aneuploidy have several deficiencies. We hope that our study will increase attention to pCSC research and lead to the development of novel strategies for the prevention and treatment of oral cancer by identifying pCSC markers."
Is the clinical course of non-arteritic ischemic optic neuropathy associated with oxidative damage and the dynamics of the antioxidant response?,International ophthalmology,2023 Apr 7,37029212,"PURPOSE: Oxidative stress is known to be a decisive factor in the wide etiopathogenesis of optic neuropathy. This study aimed to comprehensively evaluate the interaction of optic neuropathy's clinical course with systemic oxidative damage and antioxidant response dynamics in a large series. METHODS: This case-controlled clinical study included 33 non-arteritic anterior ischemic optic neuropathy (NAION) patients and 32 healthy individuals. Extensive systemic oxidation profiles were statistically compared between the two groups, and correlations between the clinical and biochemical data in the study group were analyzed. RESULTS: Vitamin E and malondialdehyde (MDA) levels were significantly higher in the study group. Significant correlations were observed in the analyses between clinical findings and oxidative stress parameters. Correlations between vitamin E and intraocular pressure (IOP), between B(12) and cup-to-disk ratio (c/d), between antioxidant glutathione and superoxide dismutase (SOD) enzyme systems, and between uric acid (UA) and age were found to be very significant. As significant correlations were found in either clinical and biochemical data or in oxidative stress parameters, correlations between vitamin E and cholesterol, MDA were found to be very significant. CONCLUSIONS: This study not only supplies significant information regarding oxidative damage and antioxidant response in NAION, but also points out the specific interactions of neuromodulators, like vitamin E, in intracellular signaling pathways and regulation mechanisms. A better reading of these connections may help improve diagnosis, follow-ups and treatment criteria and strategies."
"Comparisons of efficacy and safety between preserved and preservative-free brimonidine tartrate in glaucoma and ocular hypertension: a parallel-grouped, randomized trial.",Scientific reports,2023 Apr 7,37029145,"This multicenter (four institutions), randomized, investigator-masked, parallel-group clinical trial evaluated and compared the efficacy and safety of preservative-free and preserved brimonidine tartrate 0.15% in open-angle glaucoma and ocular hypertension. Sixty eyes of 60 patients with intraocular pressure (IOP) >/= 15 mmHg diagnosed with open-angle glaucoma or ocular hypertension were randomized to preserved (n = 31) and preservative-free (n = 29) brimonidine groups. The enrolled eyes received brimonidine monotherapy three times daily. Main outcome measures were corneal/conjunctival staining score, ocular surface disease index, patient satisfaction score, drug tolerance, and drug adherence rate 12 weeks post first administration. Secondary outcome measurements included visual acuity, IOP, drug tolerance, tear-film break-up time, hemodynamic changes including blood pressure and heart rates, and ocular adverse events. After 12 weeks, both preserved and preservative-free groups showed similar IOP reduction, corneal and conjunctival staining scores, drug tolerance, and adherence rates. The preservative-free group showed significantly better tear-film break-up time and higher patient satisfaction regarding drug use and management. Systolic and diastolic blood pressure reductions during the 12 weeks were significantly lower in the preserved group than in the preservative-free group. Preservative-free brimonidine tartrate showed comparable efficacy and safety, better corneal tear film stability, and patient satisfaction than preserved brimonidine."
Photobiomodulation therapy for large soft drusen and drusenoid pigment epithelial detachment in age-related macular degeneration: a single-center prospective pilot study.,"Retina (Philadelphia, Pa.)",2023 Apr 6,37027819,"PURPOSE: To evaluate visual acuity and morphologic changes after photobiomodulation (PBM) for patients affected with large soft drusen and/or drusenoid pigment epithelial detachment (dPED) associated to dry age-related macular degeneration (AMD). METHOD: Twenty eyes with large soft drusen and/or dPED AMD were included and treated with the LumiThera(R) ValedaTM Light Delivery System. All subjects underwent 2 treatments per week for 5 weeks. Outcome measures included best corrected visual acuity (BCVA), microperimetry- scotopic testing, drusen volume (DV), central drusen thickness (CDT), quality of life (QoL) score at baseline and month 6 (M6) follow up. Data of BCVA, DV and CDT was also recorded at week 5 (W5). RESULTS: BCVA significantly improved at M6 with a mean score gain of 5.5 letters (p = 0.007). Retinal sensitivity (RS) decreased by 0.1 dB (p=0.17). Mean fixation stability increased by 0.45 % (P=0.72). DV decreased by 0.11 mm3 (p=0.03). CDT was reduced by a mean of 17.05 microm (p=0.01). GA area increased by 0.06 mm2 (p=0.01) over a 6 months follow up, quality of life score increased by 3,07 points on average (p=0.05). One patient presented a dPED rupture at M6 after PBM treatment. CONCLUSION: The visual and anatomical improvements in our patients support previous reports on PBM. PBM may provide a valid therapeutic option for large soft drusen and dPED AMD and may potentially slow the natural course of the disease."
The Pathological Mechanisms and Novel Therapeutics for Leber's Hereditary Optic Neuropathy.,Journal of the Chinese Medical Association : JCMA,2023 Apr 10,37027535,"Optic neuropathies were estimated to affect 115 in 100,000 population in 2018. Leber's Hereditary Optic Neuropathy (LHON) as one of such optic neuropathy diseases that was first identified in 1871 and can be defined as a hereditary mitochondrial disease. LHON is associated with three mtDNA point mutations which are G11778A, T14484, and G3460A that affect the NADH dehydrogenase subunits of 4, 6, and 1, respectively. However, in most cases, only one point mutation is involved. Generally, in manifestation of the disease, there are no symptoms until the terminal dysfunction in the optic nerve is observed. Due to the mutations, nicotinamide adenine dinucleotide (NADH) dehydrogenase or complex I is absent and thus ATP production is stopped. This further causes the generation of reactive oxygen species (ROS) and retina ganglion cells (RGC) apoptosis. Aside from the mutations, there are several environmental factors such as smoking and alcohol consumption that can be pointed out as the risk factors of LHON. Nowadays, gene therapy has been intensively studied for LHON treatment. Disease models using human induced pluripotent stem cells (hiPSCs) have been utilized for LHON research."
"Rasch development and validation of the ""Medellin Dry Eye Inventory"" (ME.Dry), an instrument to measure multidimensional quality of life compromise in patients with dry eye disease.",Indian journal of ophthalmology,2023 Apr,37026277,"PURPOSE: Dry eye disease (DED) is a common condition that affects the quality of life. There is a great need for better-developed scales that comply with Rasch model requirements. METHODS: Prospective study including patients with DED. A series of focus groups were performed to determine the best items to be included. A Rasch modeling methodology was used to validate the Medellin Dry Eye Inventory (ME.Dry). After iterative analysis and scale modification, a final version of the scale was attained which complied with the Rasch analysis expectations. Correlation between the different subscales of the ME.Dry and the Ocular Surface Disease Index (OSDI) was evaluated through Spearman correlation. RESULTS: A total of 166 patients with DED were included. Rasch modeling demonstrated an excellent behavior for the ME.Dry, including four subscales: Symptoms, Triggers, Activity Limitation, and Emotional Compromise. Infit and Outfit parameters were all between 0.50 and 1.50, with excellent category utilization. Person and item separation and reliability were excellent for all subscales. There was a need for a category collapsing for the Emotional Compromise subscale. There was a strong correlation between the different subscales of the ME.Dry except for the Emotional Compromise subscale, which seems to be independent. CONCLUSION: The ME.Dry is a reliable scale, complying with the Rasch model expectations, that allows for a reliable measurement of quality of life compromise in patients with DED. Emotional compromise secondary to DED does not seem to correlate with disease severity as assessed by the other quality-of-life subscales."
