Title,Journal,Publication Date,PubMed ID,Abstract
Predictive factors for treatment outcomes with intravitreal anti-vascular endothelial growth factor injections in diabetic macular edema in clinical practice.,International journal of retina and vitreous,2023 Apr 4,37016462,"BACKGROUND: Intravitreal anti-vascular endothelial growth factor (anti-VEGF) injections are the standard of care for diabetic macular edema (DME), a common complication of diabetes. This study aimed to identify factors influencing DME intravitreal anti-VEGF treatment outcomes in real-world practice. METHODS: This was a multi-center retrospective observational study using medical chart review of participants receiving anti-VEGF injections for DME (N = 248). Demographic and clinical variables were assessed for association with best corrected visual acuity (BCVA) and central macular thickness (CMT) outcomes using regression models. RESULTS: There was a significant improvement in BCVA (p < 0.001) and CMT (p < 0.001) after 12 months of treatment, although 21% of participants had decreased BCVA, and 41% had a < 10% CMT reduction at 12 months. Higher baseline BCVA (p = 0.022, OR=-0.024, 95% CI=-0.046,-0.004) and longer duration of diabetic retinopathy (p = 0.048, OR=-0.064, 95% CI=-0.129,-0.001) were negative predictors for BCVA response, whereas Aflibercept treatment (p = 0.017, OR = 1.107, 95% CI = 0.220,2.051) compared with other drugs and a positive ""early functional response"" (p < 0.001, OR=-1.393, 95% CI=-1.946,-0.857) were positive predictors. A higher baseline CMT (p < 0.001, OR = 0.019, 95% CI = 0.012,0.0261) and an ""early anatomical response"", (p < 0.001, OR=-1.677, 95% CI=-2.456, -0.943) were predictors for greater reduction in CMT. Overall, the variables could predict only 23% of BCVA and 52% of CMT response. CONCLUSIONS: The study shows a significant proportion of DME patients do not respond to anti-VEGF therapy and identifies several clinical predictors for treatment outcomes. TRIAL REGISTRATION: The study was approved through the Human Research Ethics Committee, University of Tasmania (approval number H0012902), and the Southern Adelaide Clinical Human Research Ethics Committee (approval number 86 - 067)."
Time outdoors positively associates with academic performance: a school-based study with objective monitoring of outdoor time.,BMC public health,2023 Apr 4,37016357,"BACKGROUND: To explore the relationship between outdoor time and academic performance among school-aged children. METHODS: This study was designed as a cross-sectional study. Data were derived from a school-based prospective children myopia intervention study (STORM). Outdoor time was recorded by self-developed algorithm-validated wristwatches in real-time and calculated as the cumulative average of 10 months. The academic performance was recorded and provided by the participating schools and further standardized. Other information was collected using an online standardized questionnaire. Mixed-effects model and B-Spline method were used to investigate the association between time spent on different types of daily activity, including outdoor activity and academic performance. RESULTS: A total of 3291 children with mean age 9.25 years were included in the final analysis. Overall, outdoor time was associated with academic performance in a non-linear manner; specifically, not exceeding 2.3 h per day, outdoor time was positively associated with academic performance; exceeding 2.3 h per day, this association became non-significant. Likewise, daily sleep duration and out-of-school learning time were associated with academic performance in a non-linear manner, resulting in turning points of 11.3 and 1.4 h per day, respectively. Separate analysis showed that outdoor time and sleep duration but not out-of-school learning time were positively associated with academic performance in Chinese, mathematics and English. CONCLUSION: Outdoor time, sleep duration and out-of-school learning time were associated with academic performance in a non-linear manner. Promotion of outdoor time may not negatively impact on academic performance. TRIAL REGISTRATION: Our study was registered in ClinicalTrials.gov (Identifier: NCT02980445)."
"China Glaucoma Treatment Pattern Study I-Primary Angle-Closure Glaucoma: protocol for a multicentre, retrospective, observational study.",BMJ open,2023 Apr 4,37015785,"INTRODUCTION: Primary angle-closure glaucoma (PACG) is a leading cause of irreversible blindness globally, and the number of patients with PACG rises every year. Yet, there is a lack of knowledge about the clinical characteristics, therapeutic options and profile of patients with PACG in China. Hence, we design the China Glaucoma Treatment Pattern Study Ⅰ-Primary Angle-Closure Glaucoma (Ch-GTPⅠ). The objective of this paper is to describe the design and methodology of Ch-GTP. The aim of this study is to characterise the profile and trend associated with initial PACG treatment for the last 10 years in China. METHODS: Ch-GTPⅠ is a national multicentre retrospective observational study that will randomly sample from 50 hospitals throughout China. Over 7000 patient records hospitalised for initial PACG treatment from 2011 to 2020 will be selected randomly. The data from electronic medical records will be uploaded to an encrypted online platform that will receive and collate data from all collaborating hospitals. Data abstraction and monitoring will be performed in a standardised manner by trained statisticians to ensure consistency. Systematic data cleaning will also be conducted by statisticians to ensure data integrity before final data storage. The outcomes will include four broad categories: (1) demographics, (2) clinical characteristics, (3) therapeutic strategies and procedures and (4) early outcomes at discharge. The demographic characteristics and early outcomes will be summarised using descriptive statistics. Comparative analyses of characteristics and treatment pattern changing trends for different regions and years will be used to test for significant differences (t-test or Mann-Whitney U test). ETHICS AND DISSEMINATION: The collaborating hospitals obtained local approval based on a standard ethics application from internal ethics committees or acknowledged an existent ethics approval of the leading institution with approval from internal ethics committees. Due to the retrospective nature, written informed consent from patients was waived by the ethics committee. The results will be published in academic journals and presented at national and international academic conferences. TRIAL REGISTRATION NUMBER: ChiCTR2100054643."
Unclassified clinical presentations of chronic inflammatory demyelinating polyradiculoneuropathy.,"Journal of neurology, neurosurgery, and psychiatry",2023 Apr 4,37015771,"BACKGROUND: To assess the ability of the 2021 European Academy of Neurology/Peripheral Nerve Society (EAN/PNS) clinical criteria for chronic inflammatory demyelinating polyradiculoneuropathy (CIDP) to include within their classification the whole spectrum of clinical heterogeneity of the disease and to define the clinical characteristics of the unclassifiable clinical forms. METHODS: The 2021 EAN/PNS clinical criteria for CIDP were applied to 329 patients fulfilling the electrodiagnostic (and in some cases also the supportive) criteria for the diagnosis of CIDP. Clinical characteristics were reviewed for each patient not strictly fulfilling the clinical criteria ('unclassifiable'). RESULTS: At study inclusion, 124 (37.5%) patients had an unclassifiable clinical presentation, including 110 (89%) with a typical CIDP-like clinical phenotype in whom some segments of the four limbs were unaffected by weakness ('incomplete typical CIDP'), 10 (8%) with a mild distal, symmetric, sensory or sensorimotor polyneuropathy confined to the lower limbs with cranial nerve involvement ('cranial nerve predominant CIDP') and 4 (1%) with a symmetric sensorimotor polyneuropathy limited to the proximal and distal areas of the lower limbs ('paraparetic CIDP'). Eighty-one (65%) patients maintained an unclassifiable presentation during the entire disease follow-up while 13 patients progressed to typical CIDP. Patients with the unclassifiable clinical forms compared with patients with typical CIDP had a milder form of CIDP, while there was no difference in the distribution patterns of demyelination. CONCLUSIONS: A proportion of patients with CIDP do not strictly fulfil the 2021 EAN/PNS clinical criteria for diagnosis. These unclassifiable clinical phenotypes may pose diagnostic challenges and thus deserve more attention in clinical practice and research."
A randomized clinical trial comparing three fixed combinations of bimatoprost with timolol in patients with open-angle glaucoma or ocular hypertension.,Current medical research and opinion,2023 Apr 4,37013445,"Objective: To compare the efficacy and safety of two fixed combination, preservative-free eye drops (bimatoprost 0.01% in combination with either timolol 0.1% or 0.5%) in a gel formulation, with bimatoprost 0.03%/timolol 0.5% in patients with open-angle glaucoma (OAG) or ocular hypertension (OHT).Methods: Phase II, randomized, investigator-masked, multicenter, 3-arm parallel group (Eudract No. 2017-002823-46). Eighty-six patients aged >/=18 years with OAG or OHT, with intraocular pressure (IOP) initially controlled for at least 6 months by a combination therapy of a dual prostaglandin and timolol or insufficiently controlled by first-line monotherapy were included. Patients were randomized to receive T4030a (bimatoprost 0.01%/timolol 0.1%; N = 29), T4030c (bimatoprost 0.01%/timolol 0.5%; N = 29) or bimatoprost 0.03%/timolol 0.5% (N = 28), administered once daily in the evening for 12 weeks. Primary endpoint was defined as change in IOP from day 1 to week 12 measured at 08:00 (+/-1 hour). Further efficacy, safety and pharmacokinetic endpoints were assessed as secondary outcomes.Results: The mean change in IOP from baseline to week 12 was -9.8 +/- 2.1 mmHg for T4030a, -10.1 +/- 2.5 mmHg for T4030c and -10.0 +/- 2.8 mmHg for bimatoprost 0.03%/timolol 0.5%. All treatments were well tolerated with no safety issues identified in any group. In patients treated with T4030a, the systemic concentration of timolol was significantly lower after 12 weeks than in patients treated with T4030c or bimatoprost 0.03%/timolol0.5%.Conclusions: These study results suggest that the preservative-free ophthalmic formulation of T4030a (bimatoprost 0.01%/timolol 0.1%) can be regarded as a useful tool in the therapeutic management of OAG and OHT."
Sensitivity and specificity of optical coherence tomography angiography for diagnosis and classification of diabetic retinopathy; a systematic review and meta-analysis.,European journal of ophthalmology,2023 Apr 3,37013361,"BACKGROUND: Optical coherence tomography angiography (OCTA) is a noninvasive imaging method that can be used for the staging of diabetic retinopathy. In addition, alterations in OCTA parameters can precede the clinical fundus changes. In this review, we aimed to assess the accuracy of OCTA in diagnosis and staging of diabetic retinopathy. METHODS: Two independent reviewers participated in the literature search using electronic databases (PubMed, Embase, Cochrane Library Central Register of Controlled Trials, ISI, and Scopus) from inception till December 2020. The heterogeneity of data was assessed by Q statistics, Chi-square test and I(2) index. RESULTS: Forty-four articles published from 2015 to the end of 2020 were included in this meta-analysis. Of these, 27 were case-control studies, 9 were case series, and 8 were cohort studies. In total, 4284 eyes of 3553 patients were assessed in this study. OCTA could differentiate diabetic retinopathy from diabetes without diabetic retinopathy with a sensitivity of 88% (95% CI: 85% to 92%) and specificity of 88% (95% CI: 85% to 91%). In addition, it could differentiate proliferative diabetic retinopathy from non-proliferative diabetic retinopathy with a sensitivity of 91% (95% CI: 86% to 95%) and specificity of 91% (95% CI:86% to 96%). The sensitivity of OCTA for diagnosing diabetic retinopathy was increased by the size of scan (3 x 3 mm: 85%; 6 x 6 mm: 91%, 12 x 12 mm: 96%). CONCLUSION: OCTA, as a non-invasive method, has acceptable sensitivity and specificity for diagnosis and classification of diabetic retinopathy. A larger scan size is associated with more sensitivity for discriminating diabetic retinopathy."
[Research progress on the epidemiology and risk factors of dry eye in children].,[Zhonghua yan ke za zhi] Chinese journal of ophthalmology,2023 Apr 11,37012598,"The prevalence of dry eye in children is increasing with changes in the environment and the widespread use of electronic products. However, due to poor ability to express themselves and hidden symptoms of children, lack of understanding of dry eye in children, children with dry eye are likely to be misdiagnosed. Dry eye can seriously affect the quality of children's learning, life, vision and visual development. Therefore, it is urgent to raise awareness of clinical workers about dry eye in children, prevent the occurrence of related complications of dry eye, and avoid permanent visual damage to children. This review discusses and summarizes the epidemiology and common risk factors of children with dry eye, with the aim of improving doctors' understanding of dry eye in children."
[Femtosecond laser-assisted minimally invasive lamellar keratoplasty for advanced keratoconus].,[Zhonghua yan ke za zhi] Chinese journal of ophthalmology,2023 Apr 11,37012592,"Objective: To evaluate the initial safety and efficacy of femtosecond laser-assisted minimally invasive lamellar keratoplasty (FL-MILK) for advanced keratoconus. Methods: It was a case series study. Patients with advanced keratoconus who underwent FL-MILK between August 2017 and April 2020 at Shandong Eye Hospital were prospectively included. The femtosecond laser was used to create an intrastromal pocket in the recipient cornea and a lamellar cornea in the donor. The lamellar cornea was then gently inserted into the intrastromal pocket through the incision and flattened. Clinical measurements included best-corrected visual acuity, 3-mm anterior corneal mean keratometry, anterior and posterior central corneal elevation, central corneal thickness, corneal biomechanics, and endothelial cell density. The follow-up was conducted at 1 month, 12 months, and 24 months after the operation. Results: There were 33 patients (35 eyes) in the study. Twenty-six patients were male and 7 patients were female. The mean age was (20.34+/-5.24) years old. All patients completed 12 months of follow-up, and 25 patients (27 eyes) completed 24 months of follow-up. No epithelial ingrowth, infection, or allogeneic rejection was observed. Compared with the preoperative data, the anterior central corneal elevation significantly decreased (P<0.001), the mean keratometry significantly decreased (P<0.05), and the central corneal thickness significantly increased (P<0.001). The corneal biomechanical strength was significantly improved, with the deformation amplitude ratio at 2.0 mm decreasing from 1.39+/-0.14 preoperatively to 1.21+/-0.10 at 24 months postoperatively (P<0.001) and the stiffness parameter at the first applanation increasing from 41.49+/-11.47 preoperatively to 88.41+/-18.17 at 24 months postoperatively (P<0.001). There were no significant changes in the mean best-corrected visual acuity, posterior corneal elevation, mean spherical equivalent, and endothelial cell density (all P>0.05). Conclusions: FL-MILK may be a feasible option for advanced keratoconus. This procedure may provide a new resolution for keratoconus."
[Analysis of clinical manifestations and imaging characteristics of in vivo confocal microscopy for Nocardia keratitis].,[Zhonghua yan ke za zhi] Chinese journal of ophthalmology,2023 Apr 11,37012591,"Objective: To analyze the clinical manifestations and imaging characteristics of in vivo confocal microscopy (IVCM) for Nocardia keratitis. Methods: It was a retrospective case series study. Medical records of 16 consecutive patients (16 eyes) with Nocardia keratitis were collected from the Department of Ophthalmology at Beijing Tongren Hospital, Capital Medical University between 2018 and 2022. The group consisted of 11 males and 5 females. The inclusion criteria for the study were the presence of typical clinical manifestations of Nocardia keratitis and at least one positive pathogenic test (corneal scraping or microbial culture) indicating Nocardia infection. The medical history, clinical and microbiological examination data of the patients were analyzed, including risk factors, diagnosis time, clinical manifestations, diagnostic methods, strain isolation, cure time, and best corrected visual acuity before and after treatment. This study utilized techniques such as slit lamp microscopy, in vivo confocal microscopy (IVCM), scraping cytology, microbial culture, and mass spectrometry identification. Results: The main risk factors for Nocardia keratitis included plant or foreign body injuries (5 out of 16 cases), contact lens use (4 out of 16 cases), and surgery (2 out of 16 cases). The average time to diagnosis was (20.8+/-11.8) days, with the shortest time being 8 days and the longest being 60 days. The best corrected visual acuity was less than 0.05 in 7 patients, between 0.05 to 0.3 in 7 patients, and greater than or equal to 0.3 in 2 patients. The typical symptoms included superficial gray-white infiltration in a wreath-like pattern on the cornea, corneal ulcers with dry and gray-white necrotic tissue coverage, and in severe cases, corneal ulcer perforation. Nocardia corneal infection was identified in 12 out of 16 cases by scraping cytology, 9 out of 16 cases by mass spectrometry, and 8 out of 16 cases by both methods. IVCM showed the presence of fine and moderately reflective filamentous hyphae in the subepithelial and superficial stromal layer of the cornea, arranged in elongated, beaded, and branched structures. Infiltration of many hyper-reflective round inflammatory cells was also seen around the hyphae. Fourteen cases were treated with medication and 2 cases were treated with corneal transplantation. The average cure time was (37.5+/-25.2) days and there were no cases of recurrence during the follow-up period (all greater than 6 months). Conclusions: Nocardia keratitis is primarily characterized by dense, round, or wreath-like infiltration in the early stage, and by gray-white dry necrotic secretion and hypopyon on the surface of corneal ulcers in the middle and late stages. Fine, branched or beaded, and moderately reflective filamentous structures are the hallmark of the corneal lesion on the IVCM images."
[A multicenter clinical trial of collar-button type keratoprosthesis implantation for the treatment of corneal blindness in high-risk transplantation].,[Zhonghua yan ke za zhi] Chinese journal of ophthalmology,2023 Apr 11,37012589,"Objective: To evaluate the efficiency and safety of collar-button type keratoprosthesis (c-bKPro) implantation for corneal blindness in high-risk transplantation in China. Methods: It was a case series study. High-risk corneal blind patients who planned to undergo c-bKPro implantation were prospectively and continuously enrolled in the Eye Hospital of Shandong First Medical University, Ophthalmology Division of Chinese PLA General Hospital, Zhongshan Ophthalmic Center, Department of Ophthalmology in Eye & ENT Hospital of Fudan University, and Eye Hospital of Wenzhou Medical University from July 2019 to January 2020. The cure for blindness and surgical success were assessed based on visual acuity (VA)>/=0.05. The complications and keratoprosthesis retention rate were recorded to determine the safety of the surgery. Results: Thirty-seven subjects (eyes) were included, of which 32 were male and 5 were female, aged 27 to 72 years old. The indications of c-bKPro implantation were corneal graft failure (21 eyes, 56.8%), chemical injury (8 eyes, 21.6%), thermal burn (5 eyes, 13.5%), unexplained corneal opacity (2 eyes, 5.4%), and corneal perforation (1 eye, 2.7%). Two patients withdrew from the clinical trial at 3 months postoperatively. Thirty-five patients were followed up for 6 months, and 31 were followed up for 12 months. The VA was >/=0.05 in 83.8% of eyes at 6 months and in 81.8% of eyes at 12 months. Among the 11 eyes diagnosed with concurrent glaucoma, 6 eyes achieved a VA of >/=0.05. At 12 months, the c-bKPro retention rate was 100%. The surgical complications included retroprosthetic membrane formation (5 eyes, 16.1%), persistent corneal epithelial defects (5 eyes, 16.1%), macular edema (4 eyes, 12.9%), new-onset glaucoma (4 eyes, 12.5%; including one eye withdrawn from the study at 3 months), sterile corneal melting (2 eyes, 6.5%), sterile vitritis (1 eye, 3.2%), and infectious keratitis (1 eye, 3.2%). Conclusions: C-bKPro implantation is an effective and safe option for treating corneal blindness in high-risk transplantation in China. Improved visual outcomes could be achieved in most cases, with a relatively low incidence of postoperative complications."
